theta_cs, phi_cs, theta_prime, phi_prime
1.58918,1.5723,2.61114,3.2537
1.58995,1.5723,2.61535,3.2695
1.59071,1.5723,2.61619,3.27255
1.59148,1.5723,2.62057,3.28866
1.59224,1.5723,2.62179,3.29286
1.59301,1.5723,2.62197,3.29278
1.59378,1.5723,2.62456,3.30251
1.59454,1.5723,2.62945,3.32188
1.59531,1.5723,2.62723,3.31185
1.59607,1.5723,2.62722,3.31108
1.59684,1.5723,2.63017,3.32248
1.59761,1.5723,2.63403,3.33792
1.59837,1.5723,2.63175,3.32749
1.59914,1.5723,2.63359,3.33509
1.59991,1.5723,2.63504,3.33979
1.60067,1.5723,2.63764,3.35023
1.60144,1.5723,2.63837,3.35241
1.6022,1.5723,2.63863,3.35274
1.60297,1.5723,2.63985,3.35721
1.60374,1.5723,2.64261,3.36842
1.6045,1.5723,2.64219,3.36579
1.60527,1.5723,2.64488,3.37677
1.60603,1.5723,2.64491,3.37613
1.6068,1.5723,2.64478,3.37477
1.60757,1.5723,2.64689,3.38329
1.60833,1.5723,2.64734,3.38447
1.6091,1.5723,2.64887,3.39051
1.60986,1.5723,2.65088,3.39872
1.61063,1.5723,2.65214,3.40363
1.6114,1.5723,2.65207,3.40254
1.61216,1.5723,2.65188,3.40092
1.61293,1.5723,2.65438,3.41142
1.61369,1.5723,2.6545,3.41123
1.61446,1.5723,2.6556,3.41543
1.61523,1.5723,2.65539,3.41371
1.61599,1.5723,2.65714,3.42098
1.61676,1.5723,2.65877,3.42773
1.61752,1.5723,2.66023,3.43369
1.61829,1.5723,2.66119,3.43739
1.61906,1.5723,2.6611,3.4362
1.61982,1.5723,2.66074,3.43371
1.62059,1.5723,2.66161,3.437
1.62135,1.5723,2.66349,3.44505
1.62212,1.5723,2.66257,3.43994
1.62289,1.5723,2.66447,3.44812
1.62365,1.5723,2.66521,3.45085
1.62442,1.5723,2.6669,3.45813
1.62518,1.5723,2.66595,3.4528
1.62595,1.5723,2.66693,3.45671
1.62672,1.5723,2.66767,3.45946
1.62748,1.5723,2.66832,3.4618
1.62825,1.5723,2.66932,3.46583
1.62902,1.5723,2.67083,3.47237
1.62978,1.5723,2.67071,3.47098
1.63055,1.5723,2.67147,3.47387
1.63131,1.5723,2.67195,3.47542
1.63208,1.5723,2.67239,3.47677
1.63285,1.5723,2.67325,3.48024
1.63361,1.5723,2.67403,3.4833
1.63438,1.5723,2.67599,3.49216
1.63514,1.5723,2.67607,3.49173
1.63591,1.5723,2.67678,3.49453
1.63668,1.5723,2.6772,3.49578
1.63744,1.5723,2.67792,3.49863
1.63821,1.5723,2.678,3.49821
1.63897,1.5723,2.68045,3.5097
1.63974,1.5723,2.68094,3.51148
1.64051,1.5723,2.68149,3.51342
1.64127,1.5723,2.68078,3.50907
1.64204,1.5723,2.68276,3.51832
1.6428,1.5723,2.68381,3.52285
1.64357,1.5723,2.68375,3.5218
1.64434,1.5723,2.68391,3.5218
1.6451,1.5723,2.6859,3.53126
1.64587,1.5723,2.68545,3.52815
1.64663,1.5723,2.68572,3.52874
1.6474,1.5723,2.68731,3.53619
1.64817,1.5723,2.68728,3.53521
1.64893,1.5723,2.68814,3.53892
1.6497,1.5723,2.68853,3.54019
1.65046,1.5723,2.68949,3.54441
1.65123,1.5723,2.69001,3.54631
1.652,1.5723,2.6913,3.55233
1.65276,1.5723,2.69206,3.5556
1.65353,1.5723,2.69217,3.55536
1.65429,1.5723,2.69262,3.55697
1.65506,1.5723,2.69367,3.56176
1.65583,1.5723,2.69392,3.56229
1.65659,1.5723,2.69446,3.56436
1.65736,1.5723,2.695,3.56646
1.65813,1.5723,2.69584,3.5702
1.65889,1.5723,2.69712,3.57632
1.65966,1.5723,2.69692,3.57441
1.66042,1.5723,2.69711,3.57467
1.66119,1.5723,2.69893,3.58374
1.66196,1.5723,2.69951,3.58616
1.66272,1.5723,2.69899,3.58248
1.66349,1.5723,2.70078,3.59152
1.66425,1.5723,2.7009,3.59136
1.66502,1.5723,2.70184,3.59577
1.66579,1.5723,2.70212,3.59648
1.66655,1.5723,2.70277,3.5993
1.66732,1.5723,2.70349,3.60252
1.66808,1.5723,2.70445,3.60706
1.66885,1.5723,2.70493,3.60897
1.66962,1.5723,2.70555,3.61163
1.67038,1.5723,2.70533,3.60961
1.67115,1.5723,2.70673,3.61666
1.67191,1.5723,2.70698,3.61731
1.67268,1.5723,2.70794,3.62192
1.67345,1.5723,2.70787,3.62074
1.67421,1.5723,2.70929,3.62805
1.67498,1.5723,2.70896,3.62531
1.67574,1.5723,2.71041,3.63282
1.67651,1.5723,2.71119,3.63646
1.67728,1.5723,2.71064,3.63252
1.67804,1.5723,2.71181,3.63843
1.67881,1.5723,2.71284,3.64361
1.67957,1.5723,2.71277,3.64239
1.68034,1.5723,2.7133,3.64465
1.68111,1.5723,2.71345,3.64474
1.68187,1.5723,2.71424,3.64854
1.68264,1.5723,2.71508,3.65265
1.68341,1.5723,2.71617,3.6582
1.68417,1.5723,2.71693,3.66197
1.68494,1.5723,2.71663,3.65937
1.6857,1.5723,2.71725,3.66218
1.68647,1.5723,2.71862,3.66957
1.68724,1.5723,2.7185,3.66799
1.688,1.5723,2.71978,3.67479
1.68877,1.5723,2.71966,3.67332
1.68953,1.5723,2.7203,3.67633
1.6903,1.5723,2.72144,3.68234
1.69107,1.5723,2.7215,3.68195
1.69183,1.5723,2.72243,3.68672
1.6926,1.5723,2.7225,3.68633
1.69336,1.5723,2.72327,3.69021
1.69413,1.5723,2.72403,3.69403
1.6949,1.5723,2.72413,3.69383
1.69566,1.5723,2.7247,3.69652
1.69643,1.5723,2.72546,3.70034
1.69719,1.5723,2.72641,3.70534
1.69796,1.5723,2.72654,3.70536
1.69873,1.5723,2.72717,3.70843
1.69949,1.5723,2.72768,3.71083
1.70026,1.5723,2.72825,3.71356
1.70102,1.5723,2.72866,3.71527
1.70179,1.5723,2.72949,3.71963
1.70256,1.5723,2.73006,3.72241
1.70332,1.5723,2.73122,3.72886
1.70409,1.5723,2.73108,3.7272
1.70485,1.5723,2.7316,3.72965
1.70562,1.5723,2.73272,3.73589
1.70639,1.5723,2.73293,3.73642
1.70715,1.5723,2.73391,3.74188
1.70792,1.5723,2.73395,3.7413
1.70868,1.5723,2.73493,3.74677
1.70945,1.5723,2.73533,3.7485
1.71022,1.5723,2.73608,3.75248
1.71098,1.5723,2.736,3.75121
1.71175,1.5723,2.73662,3.75442
1.71252,1.5723,2.73731,3.75806
1.71328,1.5723,2.73796,3.76147
1.71405,1.5723,2.73875,3.76581
1.71481,1.5723,2.73932,3.76865
1.71558,1.5723,2.7395,3.76902
1.71635,1.5723,2.74003,3.77169
1.71711,1.5723,2.74039,3.77323
1.71788,1.5723,2.74101,3.77653
1.71864,1.5723,2.74183,3.7811
1.71941,1.5723,2.74222,3.78286
1.72018,1.5723,2.74278,3.78583
1.72094,1.5723,2.74323,3.78796
1.72171,1.5723,2.74433,3.79447
1.72247,1.5723,2.74473,3.79633
1.72324,1.5723,2.74543,3.80029
1.72401,1.5723,2.74567,3.80109
1.57079,1.57381,1.57039,1.57338
1.57156,1.57381,1.81399,1.82123
1.57233,1.57381,1.98006,2.00584
1.57309,1.57381,2.14219,2.2139
1.57386,1.57381,2.2324,2.34842
1.57463,1.57381,2.29812,2.45872
1.57539,1.57381,2.33981,2.53538
1.57616,1.57381,2.38745,2.63086
1.57692,1.57381,2.41714,2.69543
1.57769,1.57381,2.44321,2.75565
1.57846,1.57381,2.46878,2.81837
1.57922,1.57381,2.47946,2.84525
1.57999,1.57381,2.4946,2.88513
1.58075,1.57381,2.50923,2.92537
1.58152,1.57381,2.51801,2.94984
1.58229,1.57381,2.52772,2.97773
1.58305,1.57381,2.53606,3.00229
1.58382,1.57381,2.54509,3.02972
1.58458,1.57381,2.54873,3.04042
1.58535,1.57381,2.56102,3.07963
1.58612,1.57381,2.56225,3.08288
1.58688,1.57381,2.56777,3.10057
1.58765,1.57381,2.57154,3.11262
1.58841,1.57381,2.57394,3.12005
1.58918,1.57381,2.57889,3.1365
1.58995,1.57381,2.58133,3.14424
1.59071,1.57381,2.58476,3.1556
1.59148,1.57381,2.5901,3.17409
1.59224,1.57381,2.59164,3.17889
1.59301,1.57381,2.59481,3.18973
1.59378,1.57381,2.59796,3.20061
1.59454,1.57381,2.60103,3.21143
1.59531,1.57381,2.60104,3.21059
1.59607,1.57381,2.60522,3.22563
1.59684,1.57381,2.60722,3.23248
1.59761,1.57381,2.61064,3.24493
1.59837,1.57381,2.61111,3.24599
1.59914,1.57381,2.61186,3.24813
1.59991,1.57381,2.61415,3.25631
1.60067,1.57381,2.61758,3.2691
1.60144,1.57381,2.61734,3.26736
1.6022,1.57381,2.6196,3.2756
1.60297,1.57381,2.62096,3.2803
1.60374,1.57381,2.6227,3.2865
1.6045,1.57381,2.62635,3.30065
1.60527,1.57381,2.62867,3.30945
1.60603,1.57381,2.62912,3.31051
1.6068,1.57381,2.62861,3.30764
1.60757,1.57381,2.63066,3.31534
1.60833,1.57381,2.63234,3.32155
1.6091,1.57381,2.63318,3.32436
1.60986,1.57381,2.63468,3.32987
1.61063,1.57381,2.63673,3.3378
1.6114,1.57381,2.63714,3.33876
1.61216,1.57381,2.63718,3.33817
1.61293,1.57381,2.64056,3.35195
1.61369,1.57381,2.64027,3.34987
1.61446,1.57381,2.64184,3.3559
1.61523,1.57381,2.64187,3.35521
1.61599,1.57381,2.64257,3.35747
1.61676,1.57381,2.64524,3.3684
1.61752,1.57381,2.64566,3.36945
1.61829,1.57381,2.64638,3.37184
1.61906,1.57381,2.64763,3.37661
1.61982,1.57381,2.64952,3.38428
1.62059,1.57381,2.65033,3.38706
1.62135,1.57381,2.65113,3.38986
1.62212,1.57381,2.65152,3.39085
1.62289,1.57381,2.65298,3.39668
1.62365,1.57381,2.65371,3.3992
1.62442,1.57381,2.65431,3.40113
1.62518,1.57381,2.65705,3.41291
1.62595,1.57381,2.65647,3.40945
1.62672,1.57381,2.657,3.41111
1.62748,1.57381,2.65775,3.41374
1.62825,1.57381,2.66033,3.42497
1.62902,1.57381,2.661,3.42728
1.62978,1.57381,2.66131,3.42799
1.63055,1.57381,2.66204,3.43057
1.63131,1.57381,2.66452,3.4415
1.63208,1.57381,2.66389,3.4377
1.63285,1.57381,2.66488,3.44163
1.63361,1.57381,2.66655,3.4488
1.63438,1.57381,2.66629,3.44673
1.63514,1.57381,2.66783,3.45332
1.63591,1.57381,2.66718,3.44943
1.63668,1.57381,2.66922,3.45846
1.63744,1.57381,2.66915,3.4573
1.63821,1.57381,2.66974,3.45935
1.63897,1.57381,2.67239,3.47146
1.63974,1.57381,2.67186,3.46807
1.64051,1.57381,2.67242,3.47007
1.64127,1.57381,2.67309,3.47253
1.64204,1.57381,2.67478,3.48004
1.6428,1.57381,2.67577,3.48415
1.64357,1.57381,2.67592,3.4841
1.64434,1.57381,2.67636,3.48553
1.6451,1.57381,2.67698,3.48779
1.64587,1.57381,2.678,3.4921
1.64663,1.57381,2.67914,3.49703
1.6474,1.57381,2.67894,3.49522
1.64817,1.57381,2.68006,3.50007
1.64893,1.57381,2.68125,3.50526
1.6497,1.57381,2.68113,3.50389
1.65046,1.57381,2.6826,3.51053
1.65123,1.57381,2.68303,3.51197
1.652,1.57381,2.68398,3.516
1.65276,1.57381,2.68424,3.51654
1.65353,1.57381,2.68478,3.51855
1.65429,1.57381,2.68606,3.52433
1.65506,1.57381,2.68682,3.52749
1.65583,1.57381,2.68723,3.52883
1.65659,1.57381,2.68798,3.53195
1.65736,1.57381,2.68819,3.53223
1.65813,1.57381,2.68971,3.53938
1.65889,1.57381,2.69071,3.54383
1.65966,1.57381,2.69068,3.54288
1.66042,1.57381,2.69173,3.54762
1.66119,1.57381,2.69263,3.55163
1.66196,1.57381,2.69255,3.55038
1.66272,1.57381,2.69342,3.55423
1.66349,1.57381,2.69397,3.55637
1.66425,1.57381,2.6948,3.55998
1.66502,1.57381,2.69507,3.56069
1.66579,1.57381,2.69673,3.56876
1.66655,1.57381,2.6972,3.57053
1.66732,1.57381,2.69726,3.57006
1.66808,1.57381,2.69872,3.57718
1.66885,1.57381,2.6985,3.5752
1.66962,1.57381,2.69936,3.57909
1.67038,1.57381,2.70013,3.5825
1.67115,1.57381,2.70143,3.5889
1.67191,1.57381,2.70141,3.58794
1.67268,1.57381,2.7028,3.59484
1.67345,1.57381,2.70264,3.59317
1.67421,1.57381,2.70298,3.59425
1.67498,1.57381,2.70471,3.6031
1.67574,1.57381,2.70439,3.60051
1.67651,1.57381,2.70527,3.60464
1.67728,1.57381,2.70603,3.60807
1.67804,1.57381,2.70628,3.60872
1.67881,1.57381,2.70718,3.61296
1.67957,1.57381,2.70779,3.61562
1.68034,1.57381,2.70834,3.61796
1.68111,1.57381,2.70882,3.61986
1.68187,1.57381,2.70959,3.62345
1.68264,1.57381,2.71039,3.62723
1.68341,1.57381,2.7115,3.6328
1.68417,1.57381,2.71132,3.63095
1.68494,1.57381,2.71244,3.63664
1.6857,1.57381,2.71285,3.6382
1.68647,1.57381,2.71402,3.6442
1.68724,1.57381,2.71436,3.64534
1.688,1.57381,2.71448,3.64526
1.68877,1.57381,2.7157,3.65158
1.68953,1.57381,2.71576,3.65118
1.6903,1.57381,2.71643,3.6543
1.69107,1.57381,2.71692,3.65637
1.69183,1.57381,2.71741,3.65843
1.6926,1.57381,2.71831,3.66296
1.69336,1.57381,2.71924,3.66769
1.69413,1.57381,2.7198,3.67024
1.6949,1.57381,2.71961,3.66832
1.69566,1.57381,2.72114,3.67665
1.69643,1.57381,2.72126,3.67658
1.69719,1.57381,2.72237,3.68248
1.69796,1.57381,2.72236,3.68162
1.69873,1.57381,2.72313,3.68546
1.69949,1.57381,2.7241,3.69053
1.70026,1.57381,2.72475,3.6937
1.70102,1.57381,2.72512,3.69516
1.70179,1.57381,2.72567,3.69773
1.70256,1.57381,2.72612,3.69968
1.70332,1.57381,2.72644,3.70082
1.70409,1.57381,2.72727,3.70513
1.70485,1.57381,2.72813,3.70969
1.70562,1.57381,2.72868,3.71229
1.70639,1.57381,2.72914,3.71435
1.70715,1.57381,2.72998,3.71879
1.70792,1.57381,2.73017,3.71915
1.70868,1.57381,2.73116,3.72451
1.70945,1.57381,2.7316,3.72655
1.71022,1.57381,2.7322,3.7295
1.71098,1.57381,2.73282,3.73258
1.71175,1.57381,2.7334,3.73549
1.71252,1.57381,2.73356,3.73572
1.71328,1.57381,2.73434,3.73985
1.71405,1.57381,2.73462,3.74081
1.71481,1.57381,2.7357,3.74696
1.71558,1.57381,2.73589,3.74738
1.71635,1.57381,2.73661,3.75117
1.71711,1.57381,2.73749,3.75606
1.71788,1.57381,2.73754,3.75559
1.71864,1.57381,2.73834,3.75996
1.71941,1.57381,2.73918,3.76467
1.72018,1.57381,2.73924,3.7642
1.72094,1.57381,2.74047,3.77147
1.72171,1.57381,2.74081,3.77287
1.72247,1.57381,2.74134,3.77554
1.72324,1.57381,2.74136,3.77486
1.72401,1.57381,2.74214,3.77921
1.57079,1.57532,1.57051,1.57505
1.57156,1.57532,1.72873,1.73381
1.57233,1.57532,1.88236,1.89576
1.57309,1.57532,2.01257,2.04571
1.57386,1.57532,2.08713,2.13953
1.57463,1.57532,2.17427,2.26011
1.57539,1.57532,2.24766,2.37317
1.57616,1.57532,2.28487,2.43536
1.57692,1.57532,2.32728,2.5115
1.57769,1.57532,2.35683,2.56802
1.57846,1.57532,2.385,2.62496
1.57922,1.57532,2.41013,2.67895
1.57999,1.57532,2.43133,2.72661
1.58075,1.57532,2.4458,2.76038
1.58152,1.57532,2.46149,2.79825
1.58229,1.57532,2.47234,2.8252
1.58305,1.57532,2.49028,2.87191
1.58382,1.57532,2.49674,2.88882
1.58458,1.57532,2.50307,2.90558
1.58535,1.57532,2.51164,2.92915
1.58612,1.57532,2.5202,2.95317
1.58688,1.57532,2.52595,2.96949
1.58765,1.57532,2.53275,2.98916
