theta_cs, phi_cs, theta_prime, phi_prime
1.43417,1.22569,0.119516,-6.96407
1.50965,1.22569,0.0948469,-9.22476
1.58514,1.22569,3.06201,13.7503
1.66062,1.22569,3.037,10.6619
1.7361,1.22569,3.01422,8.8671
1.81158,1.22569,2.99998,7.99449
1.88707,1.22569,2.99501,7.67141
1.96255,1.22569,2.9972,7.68994
2.03803,1.22569,3.00416,7.95166
2.11352,1.22569,3.01397,8.41578
2.189,1.22569,3.02528,9.07306
2.26448,1.22569,3.03716,9.93481
2.33996,1.22569,3.04903,11.0297
2.41545,1.22569,3.06051,12.4059
2.49093,1.22569,3.07142,14.1385
2.56641,1.22569,3.08165,16.3448
2.64189,1.22569,3.09118,19.2153
2.71738,1.22569,3.10007,23.0787
2.79286,1.22569,3.10836,28.5511
2.86834,1.22569,3.11614,36.9342
2.94383,1.22569,3.12351,51.5238
3.01931,1.22569,3.13057,83.7668
3.09479,1.22569,3.13741,218.992
0,1.3789,nan,nan
0.0754827,1.3789,0.00677025,-133.101
0.150965,1.3789,0.0137254,-64.9003
0.226448,1.3789,0.0210052,-41.8811
0.301931,1.3789,0.0287567,-30.1753
0.377414,1.3789,0.0371354,-23.0146
0.452896,1.3789,0.0463043,-18.147
0.528379,1.3789,0.0564308,-14.61
0.603862,1.3789,0.0676793,-11.9244
0.679344,1.3789,0.0801993,-9.82503
0.754827,1.3789,0.0941056,-8.15298
0.83031,1.3789,0.10945,-6.80717
0.905792,1.3789,0.12618,-5.72005
0.981275,1.3789,0.144071,-4.84519
1.05676,1.3789,0.162629,-4.15107
1.13224,1.3789,0.180915,-3.6191
1.20772,1.3789,0.19721,-3.24601
1.28321,1.3789,0.20835,-3.05529
1.35869,1.3789,0.208336,-3.13605
1.43417,1.3789,0.186079,-3.79552
1.50965,1.3789,0.129344,-6.24806
1.58514,1.3789,3.05526,12.9194
1.66062,1.3789,2.98671,7.69377
1.7361,1.3789,2.94348,6.19347
1.81158,1.3789,2.93137,5.81994
1.88707,1.3789,2.93657,5.86068
1.96255,1.3789,2.95018,6.12619
2.03803,1.3789,2.96751,6.56054
2.11352,1.3789,2.98605,7.15279
2.189,1.3789,3.00443,7.91269
2.26448,1.3789,3.02192,8.86377
2.33996,1.3789,3.03814,10.0428
2.41545,1.3789,3.05294,11.5031
2.49093,1.3789,3.06631,13.3232
2.56641,1.3789,3.07833,15.6223
2.64189,1.3789,3.08913,18.5919
2.71738,1.3789,3.09888,22.5605
2.79286,1.3789,3.10773,28.144
2.86834,1.3789,3.11585,36.643
2.94383,1.3789,3.1234,51.3525
3.01931,1.3789,3.13054,83.7181
3.09479,1.3789,3.13741,219.068
0,1.53211,nan,nan
0.0754827,1.53211,0.00677616,-132.819
0.150965,1.53211,0.0137739,-64.4908
0.226448,1.53211,0.0211749,-41.3464
0.301931,1.53211,0.0291787,-29.519
0.377414,1.53211,0.0380093,-22.242
0.452896,1.53211,0.0479208,-17.2647
0.528379,1.53211,0.0592017,-13.6265
0.603862,1.53211,0.0721764,-10.8491
0.679344,1.53211,0.0872028,-8.66806
0.754827,1.53211,0.104665,-6.9242
0.83031,1.53211,0.12496,-5.51478
0.905792,1.53211,0.148483,-4.36895
0.981275,1.53211,0.175611,-3.43478
1.05676,1.53211,0.206693,-2.67222
1.13224,1.53211,0.242061,-2.04906
1.20772,1.53211,0.282078,-1.53856
1.28321,1.53211,0.327288,-1.11763
1.35869,1.53211,0.378884,-0.764356
1.43417,1.53211,0.440728,-0.450537
1.50965,1.53211,0.536481,-0.0883179
1.58514,1.53211,2.32778,2.46249
1.66062,1.53211,2.65036,3.31129
1.7361,1.53211,2.72612,3.63205
1.81158,1.53211,2.7832,3.95632
1.88707,1.53211,2.83215,4.33261
1.96255,1.53211,2.87529,4.78501
2.03803,1.53211,2.9135,5.33544
2.11352,1.53211,2.9472,6.00816
2.189,1.53211,2.97674,6.83177
2.26448,1.53211,3.00245,7.84111
2.33996,1.53211,3.0247,9.08016
2.41545,1.53211,3.04387,10.6069
2.49093,1.53211,3.06037,12.5025
2.56641,1.53211,3.07457,14.8871
2.64189,1.53211,3.08686,17.9522
2.71738,1.53211,3.09758,22.0254
2.79286,1.53211,3.10705,27.7212
2.86834,1.53211,3.11554,36.3388
2.94383,1.53211,3.12329,51.1714
3.01931,1.53211,3.13051,83.6634
3.09479,1.53211,3.13741,219.141
0,1.68532,nan,nan
0.0754827,1.68532,0.00678211,-132.536
0.150965,1.68532,0.013823,-64.0799
0.226448,1.68532,0.0213482,-40.8096
0.301931,1.68532,0.0296151,-28.8606
0.377414,1.68532,0.0389269,-21.4683
0.452896,1.68532,0.0496492,-16.3845
0.528379,1.68532,0.0622266,-12.6511
0.603862,1.68532,0.0771993,-9.79277
0.679344,1.68532,0.0952179,-7.54688
0.754827,1.68532,0.117056,-5.75548
0.83031,1.68532,0.143622,-4.31549
0.905792,1.68532,0.175985,-3.15404
0.981275,1.68532,0.215433,-2.21559
1.05676,1.68532,0.26362,-1.45506
1.13224,1.68532,0.322901,-0.834199
1.20772,1.68532,0.397093,-0.319292
1.28321,1.68532,0.49323,0.120797
1.35869,1.68532,0.62589,0.517234
1.43417,1.68532,0.827976,0.904527
1.50965,1.68532,1.16716,1.31945
1.58514,1.68532,1.67201,1.77254
1.66062,1.68532,2.1249,2.21402
1.7361,1.68532,2.40201,2.6146
1.81158,1.68532,2.57191,3.00098
1.88707,1.68532,2.68816,3.41019
1.96255,1.68532,2.77479,3.87511
2.03803,1.68532,2.84272,4.42652
2.11352,1.68532,2.89744,5.09627
2.189,1.68532,2.94208,5.91959
2.26448,1.68532,2.97866,6.93699
2.33996,1.68532,3.00869,8.19699
2.41545,1.68532,3.03334,9.76066
2.49093,1.68532,3.05363,11.7103
2.56641,1.68532,3.0704,14.1662
2.64189,1.68532,3.0844,17.3179
2.71738,1.68532,3.09621,21.4909
2.79286,1.68532,3.10635,27.2969
2.86834,1.68532,3.11522,36.0325
2.94383,1.68532,3.12318,50.9885
3.01931,1.68532,3.13049,83.6074
3.09479,1.68532,3.13741,219.214
0,1.83853,nan,nan
0.0754827,1.83853,0.00678796,-132.256
0.150965,1.83853,0.0138715,-63.6735
0.226448,1.83853,0.0215212,-40.2798
0.301931,1.83853,0.0300557,-28.2122
0.377414,1.83853,0.0398674,-20.7088
0.452896,1.83853,0.0514522,-15.5249
0.528379,1.83853,0.0654448,-11.7066
